MEP,group_abbv,country,Industry-31,Industry-32,Industry-33,Industry-34,Industry-35,Industry-36,Industry-37,Industry-38,Industry-39,Industry-40,Industry-41,Industry-42,Industry-43,Industry-44,Industry-45,Industry-46,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Guido Reil,IDG,Germany,Against,For,For,For,For,Against,For,Against,Abstain,Against,For,Against,For,For,For,Against,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Gunnar Beck,IDG,Germany,Against,For,For,For,For,Against,For,Against,Abstain,Against,For,Against,For,For,For,Against,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Gunther Sidl,S&D,Austria,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Guy Verhofstadt,REG,Belgium,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Gwendoline Delbos Corfield,Greens/EFA,France,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Gyorgy Holvenyi,EPP,Hungary,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,Abstain,Abstain,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,Against,Against
Hannah Neumann,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Hannes Heide,S&D,Austria,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Harald Vilimsky,IDG,Austria,Against,Against,For,For,For,Against,For,Abstain,For,Against,Abstain,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Heidi Hautala,Greens/EFA,Finland,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,For,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Helene Fritzon,S&D,Sweden,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Helene Laporte,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Helmut Geuking,EPP,Germany,For,For,For,For,For,Abstain,For,Abstain,For,Abstain,Abstain,Abstain,For,For,Abstain,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,For
Helmut Scholz,The Left,Germany,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Henna Virkkunen,EPP,Finland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Didn't vote,For,For,For,For,For,Against,Abstain,For,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Abstain,For,For,For,Didn't vote
Henrike Hahn,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Herbert Dorfmann,EPP,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,Abstain,Against
Hermann Tertsch,ECR,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Abstain,Abstain,Against,Against,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,Abstain,Abstain,Abstain,Abstain,Against,Abstain,Against
Herve Juvin,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Hilde Vautmans,REG,Belgium,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Hildegard Bentele,EPP,Germany,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,For,Against,For,For,For,For,For,For,Abstain,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Hynek Blasko,IDG,Czech Republic,Against,For,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,For,For,For,Against,For,Against,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Against,Against,For,Against,Against,Against,Abstain,For,For,Against,Against,For,Against
Iban Garcia Del Blanco,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Idoia Villanueva Ruiz,The Left,Spain,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Ignazio Corrao,Greens/EFA,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Didn't vote,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Didn't vote
Ilana Cicurel,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Ilhan Kyuchyuk,REG,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,For,Against,Against,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Inese Vaidere,EPP,Latvia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Inma Rodriguez Pinero,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Ioan Rares Bogdan,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,Abstain,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,Didn't vote,For,For,Abstain,For,For,For,Against,For,For,For,Against
Ioannis Lagos,NI,Greece,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Iratxe Garcia Perez,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Irena Joveva,REG,Slovenia,For,For,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Irene Tinagli,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Irene Tolleret,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,For,For,For,For,Against,For,Against,For,Against,For,Abstain,For,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Isabel Benjumea Benjumea,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Isabel Carvalhais,S&D,Portugal,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Isabel Garcia Munoz,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Isabel Santos,S&D,Portugal,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Isabel Wiseler Lima,EPP,Luxembourg,For,For,For,For,For,For,For,For,For,For,For,Against,For,For,Against,For,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
Isabella Adinolfi,EPP,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,Abstain,Against
Isabella Tovaglieri,IDG,Italy,For,Against,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,For,Abstain,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Iskra Mihaylova,REG,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,For,Against,Against,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Ismail Ertug,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,Against,Against,For,For,For,Against,Against,For
Istvan Ujhelyi,S&D,Hungary,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,For,Against,For,For,For,For,Against,Against,Against,Against,Abstain,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Iuliu Winkler,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
